,screen_name,statuses_count
0,CriticSean,23681.0
1,DashDeCosta,22933.0
2,annaleahines,4748.0
3,cmpatco88,4565.0
4,mymuddylife,8857.0
5,VirginMIAH,38964.0
6,gashouse78,2729.0
7,jovyskol,23271.0
8,GeorgeW01735467,56189.0
9,TheMatt_S,6479.0
10,Shorty1744,4789.0
11,katrinaexotic,2826.0
13,missareadeker,92.0
14,DrBondsJohnson,214.0
15,MovieManiac89,31743.0
16,HeadlessDildo,103363.0
17,seth_crompton,897.0
19,Oh_DamnItsDaddy,9548.0
20,shue_erin,271.0
23,Maejr_AB,68896.0
24,ginalozano13,5088.0
26,itsjustdanyy,974.0
28,DoItLikeTori,145956.0
29,ihatethiskid,40439.0
30,0mentalcapacity,10047.0
31,cassnicoleesayy,15079.0
33,OneInAMilll_,81843.0
37,Karrigantrue,440.0
38,Deb85024141,10334.0
39,Samtha81,2580.0
41,andrewdxcker,84388.0
42,sjwllms,3084.0
44,Drivndadinsane,2597.0
45,rugger4equality,36434.0
47,BaddieBinLaden_,33953.0
48,MrsKellyPierce,243055.0
49,slrichmiller,4010.0
50,WittyRosie,5520.0
51,PVMthe2nd,823.0
52,BigDustinEnergy,9180.0
53,MadxTrill,18077.0
55,AMORSlTO,42804.0
56,Matbimonte,25383.0
57,peoriachiefs,29289.0
59,lucky_ned,22330.0
60,ShutUpKaleena,63402.0
61,Kruse_Missile,13402.0
62,bodybybrenda,5675.0
65,MrMooreBHS,1036.0
66,Emilnem,43502.0
67,brallenn,2871.0
68,gosluggogo,908.0
69,m_domont,162.0
71,queenjasmine00,5661.0
72,karguychris,253.0
74,eimajeimajeimaj,14531.0
76,leeann371,1506.0
77,ShaughnyBonny,18424.0
78,Christo24736178,320.0
79,Iam_Zen_,23624.0
80,joyylarue,4298.0
82,jvdvvv,16963.0
84,adownie,27575.0
87,kphilli_,4800.0
88,damian3197,23004.0
89,barbiebrox,160683.0
91,DossOnTheCross,8467.0
92,bonnell_brett,2924.0
94,_lilkrlybaby94,30835.0
98,marimachaspeaks,13030.0
99,Epyon1234,5965.0
100,natelizaco,10164.0
101,HadleeG_,817.0
102,kelkel531,2794.0
105,Zips26,8836.0
106,LDLOVEL,1629.0
107,OakHS76,8675.0
108,johnnyday7_,1540.0
109,2TrillKid,13309.0
111,etrimble13,5260.0
112,Syurri,54462.0
113,4ndres27,25751.0
114,TROzgurEkinci,332.0
118,JDCLASSIC,7446.0
119,BBoiDelitz,3433.0
121,BobBarkDC,8459.0
122,cgcumber,15216.0
123,mrejr8234,88345.0
124,ji711,156673.0
125,GloriaaBlanco,40149.0
126,RealNaturalWay,19686.0
128,brandom954,10853.0
129,ChrizGoat,1587.0
134,AlecMartines,2049.0
136,abbeymewmaw,39387.0
139,ALAHKnights,417.0
140,_funsizedJazz,805.0
141,MFHSAthletics,3975.0
144,TheKman84,45240.0
145,queenkeycole93,11141.0
146,ClvrjrGeorge,16526.0
148,stephnnnnnnn,14466.0
149,donidarkowitz,54025.0
150,49skrapskcin,24727.0
151,MAURICESIMONEW1,4453.0
152,Neerlyantique,24062.0
153,Lyialynn1,2200.0
154,OriginalDontay,91960.0
157,Adam_Heenan,11598.0
159,ThaRebellious1,73781.0
160,bleck1022,55484.0
161,WhoBrysonJohn,31540.0
162,BillGaither,4243.0
163,morgan_caves,4152.0
167,ToddDikeman,668.0
168,covn__,3165.0
170,1veggies,67.0
174,mydoctorromance,1260.0
176,TaraGator12,1621.0
177,tragal17,2247.0
181,taywigs,15323.0
182,joesafety33,7310.0
183,CouchSalesman,3953.0
185,jensmithRHS15,295.0
186,irifdetoro,2869.0
188,KelseyBrown_14,35431.0
189,jrodgap,22621.0
190,kaylaa__raee,14528.0
191,lovelyyuniverse,1402.0
195,RiaElinor,8733.0
196,madysonwinke,20835.0
202,BeckyHolloman,8477.0
203,8penagrace,4943.0
204,nerualcole_,15471.0
208,YMSLiftingClub,4511.0
210,emilyy_theLORAX,17698.0
212,caarlaay26,17366.0
213,jamesAferris,374.0
214,MrGuyT,41604.0
218,TheShawnSierra,4635.0
220,Innocent_Tweet,26435.0
221,WesStylesRadio,16603.0
222,softlyeben,208307.0
225,Tazertazertazer,17115.0
226,white_dayton,25164.0
227,ProfSuess,2215.0
228,JohnValkyrie240,3308.0
229,tortahdz18,2266.0
233,jobmannnn,25941.0
236,wdwdisneyland7,397011.0
238,beccamouser,405.0
243,MaisyTheCrzyPug,11758.0
244,AmericaHibbard,168.0
245,AvaBhaby,14746.0
246,Stb019,350.0
249,rdoolittle1998,18972.0
251,Joe_Sanfelippo,43962.0
252,lil_uzi_wilson,494.0
255,chrisdertz,933.0
256,KatherineH_92,780.0
257,ItsJC400,56263.0
259,JulieDiCaro,80360.0
264,jeffblev,14827.0
265,ivotedforbeer,3058.0
268,luv_selmg,45988.0
271,johnson_delanie,6288.0
274,missdamie,12477.0
278,KrisArmstrong1,48638.0
279,Yeshassii,5045.0
286,dhruvb_321,11326.0
287,chasedecounter,3661.0
288,jessicasegge,3616.0
289,KarenHeinrich1,7530.0
290,Ulyzz3z,13452.0
291,Fishcook60,118.0
292,honeysvvamp,2322.0
293,Wishes_Reality,3464.0
298,_ACKilla,53614.0
300,kurtdavis,7137.0
303,SydneyHuffff,719.0
304,RhondaRhondaj75,96.0
305,martinezaleks49,5095.0
306,Mrs18Roberts,2029.0
309,kh_cabinets,2891.0
311,the_vlogsquad,624.0
312,StarView1,1859.0
314,bncramsey,6594.0
315,JR0D_7,16518.0
316,AquinoWubsYou,64870.0
317,TeaThomas13,12528.0
